feature,importance
prior_day_range,1192
prior_day_return_pct,993
dist_prior_high,405
dist_prior_low,361
prior_day_vwap_distance,360
minutes_since_open,326
tod_sin,299
day_of_week,292
dist_vwap,251
dist_prior_close,248
dist_ema_200,237
rv_30,230
opening_range_high,216
opening_range_low,192
tod_cos,188
dist_orb_low,174
vwap_slope_5,97
minutes_to_close,96
ret_30,81
range_mean_15,80
dist_orb_high,76
rv_15,67
dist_ema_50,59
vwap_trend_strength,40
lunch_hour_flag,29
slope_ema_20_5,21
prior_day_trend,18
rolling_high_15_dist,15
dist_ema_20,13
rolling_low_15_dist,12
ret_15,10
ret_3,5
power_hour_flag,4
slope_ema_9_5,3
prior_close_reclaimed,2
dist_ema_9,2
rv_5,1
vwap_distance_percentile,1
ret_5,0
ret_1,0
upper_wick_to_range,0
body_to_range,0
range_mean_5,0
vwap_loss_flag,0
vwap_reclaim_flag,0
vol_rel_5,0
vol_rel_15,0
lower_wick_to_range,0
orb_reject_flag,0
orb_break_flag,0
close_location,0
overnight_gap_pct,0
gap_fill_pct,0
opened_in_prior_range,0
opened_above_prior_high_flag,0
opened_below_prior_low_flag,0
