feature,importance
prior_day_return_pct,1345
prior_day_range,1330
minutes_since_open,352
dist_prior_low,347
opening_range_high,220
dist_prior_high,198
rv_30,183
tod_cos,174
tod_sin,162
prior_day_vwap_distance,146
day_of_week,135
opening_range_low,112
dist_orb_low,102
dist_ema_200,102
vwap_slope_5,78
dist_prior_close,70
dist_orb_high,68
minutes_to_close,67
rv_15,47
lunch_hour_flag,44
dist_ema_50,34
ret_30,30
dist_vwap,27
range_mean_15,25
rolling_high_15_dist,17
slope_ema_20_5,11
dist_ema_20,8
slope_ema_9_5,7
vwap_trend_strength,3
rolling_low_15_dist,3
ret_15,3
range_mean_5,2
ret_3,2
ret_5,2
rv_5,0
vwap_distance_percentile,0
vwap_reclaim_flag,0
vwap_loss_flag,0
ret_1,0
dist_ema_9,0
upper_wick_to_range,0
body_to_range,0
orb_reject_flag,0
orb_break_flag,0
vol_rel_15,0
vol_rel_5,0
close_location,0
lower_wick_to_range,0
power_hour_flag,0
overnight_gap_pct,0
prior_day_trend,0
opened_in_prior_range,0
gap_fill_pct,0
prior_close_reclaimed,0
opened_above_prior_high_flag,0
opened_below_prior_low_flag,0
